column,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id,3500.0,,,,1750.5,1010.5072983407888,1.0,875.75,1750.5,2625.25,3500.0
age,3500.0,,,,28.07857142857143,9.352384874763816,13.0,21.0,27.0,34.0,50.0
gender,3500,2,Female,1835,,,,,,,
region,3500,6,Europe,797,,,,,,,
income_level,3500,4,Low,1139,,,,,,,
education_level,3500,4,Bachelor,1573,,,,,,,
daily_role,3500,5,Full-time Employee,1429,,,,,,,
device_hours_per_day,3500.0,,,,7.317677142857143,3.2398383631546803,0.28,4.8675,6.76,9.1525,17.16
phone_unlocks,3500.0,,,,147.10742857142858,67.77065624738724,9.0,96.0,136.0,187.0,374.0
notifications_per_day,3500.0,,,,335.1171428571429,239.67861207906648,22.0,170.0,268.0,434.0,1211.0
social_media_mins,3500.0,,,,159.36285714285714,132.74804837497445,0.0,68.0,119.0,204.0,631.0
study_mins,3500.0,,,,108.11657142857143,79.79627253014274,0.0,42.0,102.0,163.0,418.0
physical_activity_days,3500.0,,,,3.35,1.877975870327985,0.0,2.0,3.0,5.0,7.0
sleep_hours,3500.0,,,,7.254481132826009,1.2918789003432607,3.0,6.410545254642537,7.291579900486079,8.162297608963813,11.00456608768657
sleep_quality,3500.0,,,,2.7088475697910046,1.1011054187344318,1.0,1.919437711776272,2.9078194175101904,3.276968038550173,5.0
anxiety_score,3500.0,,,,7.183858027785496,5.043220441445598,0.0,4.0,6.0,8.845007629105176,27.154216664249446
depression_score,3500.0,,,,8.83,5.738959230010854,0.0,4.0,8.0,13.0,27.0
stress_level,3500.0,,,,5.076560326223328,3.4035031044837702,1.0,1.3414883122098793,4.809726357385214,8.794301892245405,10.0
happiness_score,3500.0,,,,6.418568102444703,3.0198275595779878,0.0,4.0,7.5,8.9,10.0
focus_score,3500.0,,,,41.59859976662777,23.764574044202746,0.0,24.75,44.0,59.0,100.0
high_risk_flag,3500.0,,,,0.20142857142857143,0.40112476086148174,0.0,0.0,0.0,0.0,1.0
device_type,3500,4,Android,903,,,,,,,
productivity_score,3500.0,,,,65.29930112427834,9.664716315902512,33.0,59.0,65.29930112427833,71.0,95.0
digital_dependence_score,3500.0,,,,36.68415185296776,14.11550407827051,5.6,26.2,35.3,45.1,89.2
social_media_hours,3500.0,,,,2.656047619047619,2.2124674729162406,0.0,1.1333333333333333,1.9833333333333334,3.4,10.516666666666667
study_hours,3500.0,,,,1.8019428571428568,1.329937875502379,0.0,0.7,1.7,2.716666666666667,6.966666666666667
notifications_per_device_hour,3500.0,,,,57.38572346345858,62.6192766328245,1.6794961511546538,23.20305432300866,40.27845069407692,69.3723871101763,1402.0833333333335
unlocks_per_device_hour,3500.0,,,,20.67382282925215,6.125325368031226,1.9313304721030042,17.13258036348205,20.2380575192293,23.59651002397182,139.6039603960396
device_to_sleep_ratio,3500.0,,,,1.102136555811851,0.6903603079687566,0.038137836863034666,0.6201286900678263,0.9141663709918767,1.3674912572314981,5.4366666666666665
activity_sleep_interaction,3500.0,,,,24.387751286108752,14.647658052964946,0.0,14.215350459541373,23.41296239622449,33.96870735441151,75.13234919265383
social_to_study_ratio,3500.0,,,,22.457996799143512,70.20703281746442,0.0,0.6162633563796355,1.344441371681416,4.049464846818539,611.0
